,Total Population,Population in Households,Population in Familes,Population in Group Qrtrs,Population Density1,Diversity Index2,Total Households,Average Household Size,Family Households,Average Family Size,Total Housing Units,Owner Occupied HU,Renter Occupied HU,Vacant Housing Units,Median Home Value,Average Home Value,Median Household Income,Average Household Income,Per Capita Income,Latitude,Longtitude,Zip Code
14,"35,492","31,763","19,122","3,729","8,008",38,"15,026",2.11,"6,993",3,"15,792 (100%)","9,305 (58.9%)","5,721 (36.2%)",766 ( 4.9%),"$966,957","$1,101,370","$139,371","$199,397","$85,925",38.940315,-77.088596,20016
15,"21,307","18,310","11,607","2,997","9,221",65,"8,089",2.26,"3,990",3,"8,571 (100%)","4,628 (54.0%)","3,461 (40.4%)",482 ( 5.6%),"$436,957","$511,511","$72,309","$100,635","$40,119",38.938481,-76.994394,20017
16,"19,652","18,917","12,955",735,"6,753",44,"8,189",2.31,"4,187",3,"8,681 (100%)","4,734 (54.5%)","3,455 (39.8%)",492 ( 5.7%),"$452,044","$493,768","$45,140","$79,156","$33,520",38.927297,-76.975967,20018
17,"59,198","58,654","43,532",544,"9,659",19,"23,781",2.47,"13,806",3,"26,462 (100%)","8,758 (33.1%)","15,023 (56.8%)","2,681 (10.1%)","$261,151","$333,153","$35,794","$54,378","$21,976",38.890726,-76.938125,20019
18,"53,116","52,156","38,755",960,"11,661",16,"21,283",2.45,"12,441",3,"23,820 (100%)","6,748 (28.3%)","14,535 (61.0%)","2,537 (10.7%)","$324,658","$430,820","$38,290","$60,025","$24,308",38.86439,-76.971958,20020
19,"14,879","14,781","6,745",98,"6,221",67,"8,692",1.7,"2,617",3,"9,524 (100%)","3,362 (35.3%)","5,330 (56.0%)",832 ( 8.7%),"$414,650","$497,100","$81,890","$110,060","$64,390",38.879013,-77.020737,20024
20,"39,703","37,628","28,340","2,075","7,015",27,"15,007",2.51,"9,030",3,"16,882 (100%)","3,478 (20.6%)","11,529 (68.3%)","1,875 (11.1%)","$264,706","$325,956","$35,112","$51,227","$20,070",38.833027,-76.997902,20032
21,"5,381","5,273","1,026",108,"17,203",46,"3,777",1.4,458,2,"3,917 (100%)","1,099 (28.1%)","2,678 (68.4%)",140 ( 3.6%),"$558,099","$828,708","$96,397","$129,683","$91,302",38.905726,-77.038962,20036
22,"18,127","12,468","3,049","5,659","18,030",44,"8,650",1.44,"1,509",2,"9,935 (100%)","2,758 (27.8%)","5,892 (59.3%)","1,285 (12.9%)","$723,132","$896,873","$81,670","$130,787","$66,890",38.904693,-77.050778,20037
23,58,58,16,0,494,67,23,2.52,4,4,26 (100%),0,23 (88.5%),3 (11.5%),   $0,   $0,"$16,900","$37,560","$14,895",38.828906,-77.015495,20374
24,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,   $0,   $0,   $0,   $0,   $0,38.898187,-77.033118,20500
